Library	sample	nreads
Lib1	pobA21_r	1381230
Lib1	pobB10	1726622
Lib1	pobB05	819766
Lib1	pobC05	442508
Lib1	pobD21_r	1398874
Lib1	Outa112_r	2024684
Lib1	pobD21	914512
Lib1	pobD02	1182222
Lib1	pobE01	774204
Lib1	pobC07	864330
Lib1	pobF02	655504
Lib1	pobC01_ir1	199276
Lib1	pobB08	1054408
Lib1	pobA06	900938
Lib1	pobG02	931922
Lib1	pobE03	1677402
Lib1	pobA07	1500368
Lib1	pobA09	2880032
Lib1	pobC03	435988
Lib1	Outa115	2120504
Lib1	pobE05	1541178
Lib1	pobA21	4
Lib1	Outa112	2014422
Lib1	NegC1	1000
Lib1	pobB09	1328964
Lib1	pobB05_r	3019542
Lib1	pobB01	865278
Lib1	pobC09	1344990
Lib1	pobG20	98674
Lib1	pobE02	2711110
Lib1	pobG01	2626154
Lib1	pobC17	1927448
Lib2	pobA25	2306006
Lib2	pobD10	1168590
Lib2	pobF24	1429836
Lib2	pobD20	1607050
Lib2	pobG10	754802
Lib2	pobH06_r	840236
Lib2	pobC16	2392998
Lib2	Outb212	144290
Lib2	pobC06_r	1458472
Lib2	pobH01	140628
Lib2	NegC2	130
Lib2	pobB03	1434294
Lib2	pobG03	1772926
Lib2	pobD01	1242270
Lib2	pobE09	1658638
Lib2	pobG09	11236
Lib2	pobB06	1775408
Lib2	pobB06_r	1419630
Lib2	pobC01_ir2	410144
Lib2	pobF04	1727092
Lib2	pobF23	1819954
Lib2	pobC06	1848026
Lib2	pobA04	317016
Lib2	pobF07	1937390
Lib2	pobE04	2801304
Lib2	pobF08	1292390
Lib2	pobE08	1548600
Lib2	pobE07	2453074
Lib2	pobH06	1168230
Lib2	pobC01	1145738
Lib2	pobD12	3056508
Lib2	pobG19	275498
Lib2	pobE04_r	2381578
Lib3	pobE06	2202164
Lib3	Outa113	775114
Lib3	Outb216	1908268
Lib3	pobG08	2176660
Lib3	pobA02	1201148
Lib3	pobC04	1059346
Lib3	pobB07	2342360
Lib3	pobB04	3808482
Lib3	pobG04	2450502
Lib3	pobC08	2939850
Lib3	Outb216_r	2993274
Lib3	pobF03_r	938272
Lib3	pobA03	2874936
Lib3	pobH05	6
Lib3	pobD11	2096006
Lib3	pobF05	1123614
Lib3	Outb214	3136620
Lib3	pobB02	2777606
Lib3	pobC01_ir3	1120852
Lib3	pobA08_r	2046236
Lib3	pobA22	1163806
Lib3	pobG08_r	1810938
Lib3	pobD18	3997230
Lib3	pobD09	3247646
Lib3	pobH04	2930076
Lib3	pobH02	2646344
Lib3	pobF25	6463944
Lib3	pobF22	79422
Lib3	pobH03	1288008
Lib3	pobA08	1613048
Lib3	pobD19	4445058
Lib3	NegC3	8
