Array,Sample_Name,Sentrix_ID,Sentrix_Position,Genotype,Treatment,Group
1,CDR017-DIL,4340571022,A,B,I,B.I
2,CDR025,4340571022,B,BY,I,BY.I
3,CDR021,4340571022,C,B,C,B.C
4,CDR029-DIL,4340571022,D,BY,C,BY.C
5,CDR022,4340571022,E,B,C,B.C
6,CDR018,4340571022,F,B,I,B.I
7,CDR026-DIL,4340571022,G,BY,I,BY.I
8,CDR030-DIL,4340571022,H,BY,C,BY.C
9,CDR031-DIL,4340571033,A,BY,C,BY.C
10,CDR023,4340571033,B,B,C,B.C
11,CDR027-DIL,4340571033,C,BY,I,BY.I
12,CDR019,4340571033,D,B,I,B.I
13,CDR020,4340571033,E,B,I,B.I
14,CDR028-DIL,4340571033,F,BY,I,BY.I
15,CDR032-DIL,4340571033,G,BY,C,BY.C
16,CDR024,4340571033,H,B,C,B.C
