OTU representative sequence,Seq no.,Kingdom,Phylum,Class,Subclass/Order,Family,Genus/Species,source ID,ML0100,ML0101,ML0102,ML0103,ML0104,ML0105,ML0106,ML0107,ML0108,ML0109,ML0110,ML0111,ML0112,ML0113,ML0114,ML0115,ML0116,ML0117,ML0127,ML0128,ML0129,ML0130,ML0131,ML0132,ML0133,ML0134,ML0135,ML0118,ML0119,ML0120,ML0121,ML0122,ML0123,ML0124,ML0125,ML0126,ML0136,ML0137,ML0138,ML0139,ML0140,ML0141,ML0142,ML0143,ML0144,ML0145,ML0146,ML0147,ML0148,ML0149,ML0150,ML0151,ML0152,ML0153
AJL8W:576:2776,1,Animalia,Chordata,,,,,SAP,12,6,24,49,23,45,12,5,46,18,2,16,0,116,10,3,2,4,476,222,457,510,307,188,91,344,164,5,0,47,0,0,1,1,0,1,1,0,0,0,0,0,1,0,1,18,2,0,0,4,1,6,4,0
AJL8W:697:1945,2,Animalia,Arthropoda,,,,,SAP,20,3,2,4,1,1,1,0,5,7,14,0,6,0,4,1,3,7,130,138,269,107,91,84,92,228,114,115,339,355,148,113,110,84,57,122,6,8,19,3,1,4,0,5,12,0,3,0,12,27,12,10,25,29
BN63R:539:1431,3,Animalia,Bryozoa,Gymnolaemata,Cheilostomatida,Membraniporidae,Biflustra arborescens,NCBI/BOLD,167,624,353,545,96,405,152,138,122,0,0,0,12,7,31,0,1,3,3,7,10,16,5,11,13,9,7,0,0,0,0,0,1,0,1,0,555,829,865,1080,1578,1002,832,1541,641,0,0,0,0,0,3,0,0,0
CVN8E:633:826,4,Animalia,Bryozoa,Gymnolaemata,Cheilostomatida,Alcyonidiidae,Alcyonidium verrilli,NCBI/BOLD,0,0,1,22,3,0,1,0,2,22,4,3,11,11,15,2,2,1,1,1,0,0,1,0,1,1,2,4,2,1,1,4,3,2,1,2,102,54,39,55,33,24,40,39,84,4,15,10,3,5,5,1,49,0
BN63R:40:112,5,Animalia,Bryozoa,Gymnolaemata,Cheilostomatida,Bugulidae,Bugula neritina,NCBI/BOLD,21,262,123,16,6,21,152,321,698,58,221,57,62,74,42,35,11,12,9,53,89,3,1,1,16,7,19,38,59,50,30,55,32,27,37,13,935,1547,2543,356,577,243,1134,2073,3384,144,74,161,115,121,259,151,120,210
BN63R:1186:868,6,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,6,1,0,0,1,3,0,1,1,3,0,0,1,2,4,5,3,13,8,12,5
AJL8W:1620:2046,7,Animalia,Nematoda,Chromadorea,Desmodorida,,,SAP,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,15,27,9,3,1,16,2,0,1,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CVN8E:1349:2473,8,Chromista,Ochrophyta,Phaeophyceae,Ectocarpales,Ectocarpaceae,Ectocarpus siliculosus,NCBI/BOLD,672,1702,454,236,104,1920,333,827,412,13,23,11,25,16,29,137,69,69,65,121,89,101,22,97,64,76,114,2,1,1,5,3,2,14,3,7,613,868,889,332,297,284,809,604,529,1,0,0,1,0,0,2,0,0
BN63R:1957:2105,9,Animalia,Arthropoda,Maxillopoda,Harpacticoida,,,SAP,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,0,0,0,2,0,0,3,1,2,1,0,0,8,14,5,9,14,2,9,14,2,0,0,0,0,0,0,0,0,0,10,25,17,32,34,7,3,27,0
AJL8W:1001:2397,10,,,,,,,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,5,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AJL8W:1164:2723,11,,,,,,,,10,1,0,0,0,0,0,5,5,0,0,0,1,0,0,0,0,0,205,157,472,262,117,121,196,444,206,11,12,11,34,47,28,6,6,1,80,45,36,8,7,13,11,52,49,0,0,0,0,0,0,0,0,0
AJL8W:1891:1774,12,Animalia,Annelida,Polychaeta,Sedentaria,,,SAP,0,1,0,19,2,0,0,0,9,0,3,0,40,201,146,25,9,291,0,0,0,0,0,0,0,0,0,1,3,2,3,39,9,13,7,18,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
AJL8W:606:987,13,Animalia,Chordata,Ascidiacea,Stolidobranchia,Styelidae,Symplegma rubra,NCBI/BOLD,0,0,0,0,0,0,0,0,0,161,31,43,105,227,449,115,365,202,4,0,0,0,0,0,0,0,0,194,40,99,133,136,770,23,256,73,8,1,1,12,1,1,0,0,1,2495,1043,1921,3168,4902,5548,1221,4051,4067
AJL8W:1393:2534,14,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CVN8E:809:2525,15,Animalia,Annelida,,,,,500?m,0,1,1,29,87,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AJL8W:1561:787,16,Animalia,Platyhelminthes,Monogenea,Monopisthocotylea,,,SAP,5,16,30,44,2,6,12,9,15,0,0,0,0,0,0,0,0,0,38,35,43,149,106,88,29,91,36,0,0,0,0,0,0,0,0,0,4,8,29,0,1,0,13,7,6,0,0,0,0,0,0,0,0,0
CVN8E:1385:1571,17,Animalia,Annelida,Clitellata,Haplotaxida,Tubificidae,Tubificoides parapectinatus,NCBI/BOLD,175,95,2971,469,414,171,483,1862,722,0,0,0,0,2,0,1,0,0,15,0,251,2,13,50,48,580,135,2,0,0,0,83,0,0,0,0,15,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0
