OrderColecta	NSiembra	Origen	Raza	Estado	Num_Colecta	Nombre_comun	Raza_Primaria	Raza_Secundaria	AÃ±o._de_colecta	Localidad	Municipio	Estado.1	Longitud	Latitud	Altitud	Ruizetal2008_grupo	Sanchezetal_grupo	Categ.Altitud	Rbiogeo	DivFloristic	PeralesBiog
2	3	INIFAP-2009-16	Apachito	Chihuahua	16	Ocho carreras	Apachito	NA	2009	Santo TomÃ¡s	Guerrero	Chihuahua	-107.583	28.68577778	1975	1A_templado540-640mm	Sierra de Chihuahua	mid	Sierra Madre Occidental	Sierra Madre Occidental	CaÂ_ones Chi
1	68	2009-72	ChalqueÃ±o	Tlaxcala	22	ChalqueÃ±o Criollo	ChalqueÃ±o	NA	2008	Ignacio Zaragoza	Cuapiaxtla	Tlaxcala	-97.92944444	19.29083333	2497		CÃ_nico	high	Eje Volcanico	Serranias Meridionales	Mesa Centra
1	91	2007-33	Dulcillo del Noroeste	Sonora	SON2007-033	MaÃ_z Dulce	Dulcillo del Noroeste	NA	2007	Agua Blanca	YÃ©cora	Sonora	-108.9246667	28.53702778	1435	2A_semicalido500-870mm	Chapalote	mid	Sierra Madre Occidental	Sierra Madre Occidental	Sierras del
2	39	Chis-2009-18	Dzit-Bacal	Chiapas	Repetida 18	Olotillo crema	Dzit-Bacal	NA	2009	Nuevo Vicente Guerrero	Villacorzo	Chiapas	-92.97972222	16.03225	618	3A_muycalido990-1360mm	MaduraciÃ_n tardÃ_a	low	Costa del Pacifico	Serranias Transismicas	Chiapas
2	12	Celaya-2009-114	Celaya	Guanajuato	2009-REPO-114	MaÃ_z Criollo	Celaya	NA	2009	El Ahuacate	Uriangato	Guanajuato	-101.1188889	20.09111111	1877	2A_semicalido500-870mm y 1B_templado>650mm	Dentados tropicales	mid	Eje Volcanico	Altiplanicie	BajÂ¡o
2	41	Celaya-2009-2	Elotes Occidentales	Guanajuato	2009-REPO-002	MaÃ_z Criollo	Elotes Occidentales	NA	2009	Comonfort	Comonfort	Guanajuato	-100.7658333	20.74416667	1800	2C_semicalido740-855mm y 1B_templado>650mm	Ocho Hileras	mid	Eje Volcanico	Altiplanicie	BajÂ¡o
1	35	2009-6-a	ChalqueÃ±o	Estado de MÃ©xico	2009-006	Criollo de la RegiÃ_n	ChalqueÃ±o	NA	2009	La CofradÃ_a	Amatepec	Estado de MÃ©xico	-100.2275	18.66027778	1390		CÃ_nico	mid	Depresion del Balsas	Depresion del Balsas	Cordillera
1	58	2009-169	Palomero ToluqueÃ±o	Estado de MÃ©xico	2009-169	Blanco	Palomero ToluqueÃ±o	NA	2009	San Marcos Tlazapan	San Bartolo Morelos	Estado de MÃ©xico	-99.71715556	19.79833333	2688	1B_templado>650mm	CÃ_nico	high	Eje Volcanico	Altiplanicie	Mesa Centra
2	51	Ig-2010-114	Nal-tel de Altura	Oaxaca	OAX-165	CosteÃ±o	Nal-tel de Altura	NA	1954	El Ciruelo	Santiago Pinotepa Nacional	Oaxaca	-98.21666667	16.3	50	3A_muycalido990-1360mm	Dentados tropicales	low	Costa del Pacifico	Costa Pacifica	Complejo de
1	82	2009-121	Comiteco	Chiapas	121	Amarillo	Comiteco	NA	2009	San Marcos	Independencia	Chiapas	-91.97702778	16.19611111	1553	1C_templado>1000mm	MaduraciÃ_n tardÃ_a	mid	Los Altos de Chiapas	Serranias Transismicas	Chiapas
1	67	2009-92	ChalqueÃ±o	Tlaxcala	92	Blanco CampeÃ_n	ChalqueÃ±o	NA	2009	"LÃ¡zaro CÃ¡rdenas, a 500 km al noroeste"	Huamantla	Tlaxcala	-97.98805556	19.35916667	2530		CÃ_nico	high	Eje Volcanico	Serranias Meridionales	Mesa Centra
1	93	2009-59	Pepitilla	Estado de MÃ©xico	2009-059	Ancho	Pepitilla	NA	2009	San Pedro Temeyac	Temascaltepec	Estado de MÃ©xico	-100.1686111	19.0525	1830	2C_semicalido740-855mm	Dentados tropicales	mid	Eje Volcanico	Depresion del Balsas	Cordillera
2	21	Guerrero-2008-12	Conejo	Guerrero	12	Crema	Conejo	NA	2008	OlinalÃ¡	OlinalÃ¡	Guerrero	-98.74311111	17.78013889	1312		Tropicales precoces	mid	Depresion del Balsas	Depresion del Balsas	Cordillera
