Especie,Poblacion,Esp-Pob,ID,Indiv,Estatus,Estatus2,Fecha_colecta,Estado,Municipio,Latitud,Longitud,Altitud,Grupo-Admix-8
P. coccineus,Ciudad Guzman,,cguz_02,2,Silvestre,Silvestre,25-Oct-15,Jalisco,Ciudad Guzman,19.5833,-103.533,2100,Silv-Centro
P. coccineus,Ciudad Guzman,,cguz_06,6,Silvestre,Silvestre,25-Oct-15,Jalisco,Ciudad Guzman,19.5833,-103.533,2100,Silv-Centro
P. coccineus,Ciudad Guzman,,cguz_09,9,Silvestre,Silvestre,25-Oct-15,Jalisco,Ciudad Guzman,19.5833,-103.533,2100,Silv-Centro
P. coccineus,Comaltepec,P. coccineus-Comaltepec,comal_10,10,Silvestre,Silvestre,26-Oct-14,Oaxaca,Comaltepec,17.55211667,-96.5254,2876,Silv-Sureste
P. coccineus,Comaltepec,P. coccineus-Comaltepec,comal_14,14,Silvestre,Silvestre,27-Oct-14,Oaxaca,Comaltepec,17.55211667,-96.5254,2876,Silv-Sureste
P. coccineus,Comaltepec,P. coccineus-Comaltepec,comal_16,16,Silvestre,Silvestre,28-Oct-14,Oaxaca,Comaltepec,17.55211667,-96.5254,2876,Silv-Sureste
P. coccineus,Comaltepec,P. coccineus-Comaltepec,comal_3,3,Silvestre,Silvestre,29-Oct-14,Oaxaca,Comaltepec,17.55211667,-96.5254,2876,Silv-Sureste
P. coccineus,EspinazoDiablo,,edia_01,1,Silvestre,Silvestre,25-Oct-15,Durango,Espinazo del Diablo,23.64005,-105.8248833,1422,Silv-Noroeste
P. coccineus,EspinazoDiablo,,edia_02,2,Silvestre,Silvestre,25-Oct-15,Durango,Espinazo del Diablo,23.64005,-105.8248833,1422,Silv-Noroeste
P. coccineus,EspinazoDiablo,,edia_03,3,Silvestre,Silvestre,25-Oct-15,Durango,Espinazo del Diablo,23.64005,-105.8248833,1422,Silv-Noroeste
P. coccineus,EspinazoDiablo,,edia_04,4,Silvestre,Silvestre,25-Oct-15,Durango,Espinazo del Diablo,23.64005,-105.8248833,1422,Silv-Noroeste
P. coccineus,EspinazoDiablo,,edia_05,5,Silvestre,Silvestre,25-Oct-15,Durango,Espinazo del Diablo,23.64005,-105.8248833,1422,Silv-Noroeste
